,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-06-08 13:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 13:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 14:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 14:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 14:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 14:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 15:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 15:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 15:30:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-08 15:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 16:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 16:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 16:30:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-08 16:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 17:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 17:15:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-08 17:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 17:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 18:00:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-08 18:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 18:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 18:45:00+00:00,0,0,0,88,0.0,0.9777777777777777
2019-06-08 19:00:00+00:00,0,0,1,82,0.0,0.9111111111111111
2019-06-08 19:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 19:30:00+00:00,0,0,0,76,0.0,0.8444444444444444
2019-06-08 19:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 20:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-08 20:15:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-08 20:30:00+00:00,0,0,1,83,0.0,0.9222222222222223
2019-06-08 20:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-08 21:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 21:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 21:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-08 21:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 22:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-08 22:15:00+00:00,0,0,1,83,0.0,0.9222222222222223
2019-06-08 22:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 22:45:00+00:00,0,0,3,81,0.0,0.9
2019-06-08 23:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-08 23:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-08 23:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-08 23:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 00:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 00:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 00:30:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 00:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 01:00:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-09 01:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 01:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 01:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 02:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
